image_id,path,source,prompt
169996,val2017/000000169996.jpg,cocoval17_car,Men on bikes riding alongside a car on the street
555050,val2017/000000555050.jpg,cocoval17_car,"A car driving in an intersection, past a furniture shop. "
526392,val2017/000000526392.jpg,cocoval17_car,Several cars travelling on a street with several traffic lights. 
157756,val2017/000000157756.jpg,cocoval17_car,A clock tower by street next to cars at night.
442456,val2017/000000442456.jpg,cocoval17_car,A man sits on the tires of a car that rests on the ground. 
10363,val2017/000000010363.jpg,cocoval17_car,A gray cat standing on top of a black car.
292997,val2017/000000292997.jpg,cocoval17_car,A snowy ladnscape with a car crashed into a pole
309391,val2017/000000309391.jpg,cocoval17_car,Many electronic wires pass over the road with few cars on it.
198805,val2017/000000198805.jpg,cocoval17_car,A group of trucks and cars parked in a parking lot.
243867,val2017/000000243867.jpg,cocoval17_car,a bus and a car on a city street
227511,val2017/000000227511.jpg,cocoval17_car,Several cars parked along the side of a street next to a street sign.
84170,val2017/000000084170.jpg,cocoval17_car,a red and white bus and some cars in the rain
86220,val2017/000000086220.jpg,cocoval17_car,A car and a public transit vehicle on a road.
276720,val2017/000000276720.jpg,cocoval17_car,An empty street with brick buildings and cars.
141597,val2017/000000141597.jpg,cocoval17_car,A large cargo van parked in front of a smart car.
172330,val2017/000000172330.jpg,cocoval17_car,A cat in between two cars in a parking lot.
565563,val2017/000000565563.jpg,cocoval17_car,Many cars are parked along the sidewalk of a narrow street.
301376,val2017/000000301376.jpg,cocoval17_car,A street area with a building and cars.
543043,val2017/000000543043.jpg,cocoval17_car,There is a red car parked next to an old bus.
514376,val2017/000000514376.jpg,cocoval17_car,A trolley is going down the street while a car passes it.
426372,val2017/000000426372.jpg,cocoval17_car,A white truck with a red car sitting in it's back.
151962,val2017/000000151962.jpg,cocoval17_car,The reflection of a dogs head out of a car window in one of the cars wing mirrors
354753,val2017/000000354753.jpg,cocoval17_car,A street with traffic lights and cars at night.
111086,val2017/000000111086.jpg,cocoval17_car,Two rows of cars parked next to a boat.
436738,val2017/000000436738.jpg,cocoval17_car,An intersection with antique cars and a bus at it.
354829,val2017/000000354829.jpg,cocoval17_car,A car is parked on the side of the street in the rain.
305695,val2017/000000305695.jpg,cocoval17_car,Zebras are grazing on grass by a car.
191013,val2017/000000191013.jpg,cocoval17_car,A large clock on the side of a building above cars on the street.
287291,val2017/000000287291.jpg,cocoval17_car,A city street with buildings and cars on a rainy day.
39484,val2017/000000039484.jpg,cocoval17_car,A variety of cars on a street with buildings.
555597,val2017/000000555597.jpg,cocoval17_car,Many cars parked on a city street with tall buildings in the background.
107087,val2017/000000107087.jpg,cocoval17_car,A black cat sits in a car and looks out.
76417,val2017/000000076417.jpg,cocoval17_car,A dog is sticking it head outside of a car window 
414385,val2017/000000414385.jpg,cocoval17_car,A man walking down a street next to a road filled with cars.
283318,val2017/000000283318.jpg,cocoval17_car,A fire hydrant and some cars on the side of the street.
508602,val2017/000000508602.jpg,cocoval17_car,Bird standing on car roof near covered pavilion.
303818,val2017/000000303818.jpg,cocoval17_car,A bus traveling down a curvy road behind a black car.
297681,val2017/000000297681.jpg,cocoval17_car,A car that is trying to drive through a flood.
166664,val2017/000000166664.jpg,cocoval17_car,A big elephant makes its way across the road with onlookers in the car.
310072,val2017/000000310072.jpg,cocoval17_car,a metal bench resting on a sidewalk with cars on a street in the background
260925,val2017/000000260925.jpg,cocoval17_car,A cat sitting on the hood of a car.
447342,val2017/000000447342.jpg,cocoval17_car,Two buses in city with other cars and trees. 
463730,val2017/000000463730.jpg,cocoval17_car,Two buses parked in a parking lot next to cars.
527220,val2017/000000527220.jpg,cocoval17_car,A red car next to a gas station sign and parked blue and silver motorcycles.
222094,val2017/000000222094.jpg,cocoval17_car,Road is littered with old cars and some wrecked trucks with a lone red and white stop sign at a grassy lot 
379800,val2017/000000379800.jpg,cocoval17_car,An orange train engine moves down the track with one train car behind it.
429011,val2017/000000429011.jpg,cocoval17_car,Model of two cars with a man near a blue phonebooth.
78823,val2017/000000078823.jpg,cocoval17_car,A dog standing on the back of a brown car.
400367,val2017/000000400367.jpg,cocoval17_car,The car lights are streaking by on the street.
162858,val2017/000000162858.jpg,cocoval17_car,cars setting at traffic light leading to capitol building
396338,val2017/000000396338.jpg,cocoval17_car,A couple of cars on a city street.
33854,val2017/000000033854.jpg,cocoval17_car,"A bus, old cabin cars, and motor cycles with people "
367680,val2017/000000367680.jpg,cocoval17_car,"Cars, truck and carriages are traveling on the road"
377946,val2017/000000377946.jpg,cocoval17_car,A yellow food truck parked close to a car
453841,val2017/000000453841.jpg,cocoval17_car,Cars and trucks stopped at an intersection at twilight.
167122,val2017/000000167122.jpg,cocoval17_car,an image of a night scene with a cat on top of a car
17627,val2017/000000017627.jpg,cocoval17_car,Several cars are parked in front of a building.
466156,val2017/000000466156.jpg,cocoval17_car,The striped cat is sitting on top of the car.
236845,val2017/000000236845.jpg,cocoval17_car,a red and white sign a car and some buildings
